type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1626.5955:398.2426,1621.6657:410.3922,1635.3319:407.4011,
DATA,4.0000,64,256,1798.4155:444.7746,1808.0413:445.9662,1736.5468:430.8721,
DATA,4.0000,128,256,1880.6656:475.9462,1888.6897:473.6871,1890.7855:477.0718,
DATA,4.0000,256,256,1986.4806:488.6192,1995.1357:494.0386,1993.0819:496.2447,
DATA,4.0000,512,256,1918.0824:481.1929,1929.6152:491.3787,1952.4958:490.3701,
DATA,4.0000,1024,256,2005.6865:503.7476,2040.7413:509.4899,2040.2609:515.8031,
DATA,4.0000,2048,256,1934.5602:489.5161,2002.5638:507.8092,2011.4808:499.7091,
DATA,4.0000,32,512,1446.3824:361.2791,1458.0152:362.6203,1457.6209:358.6749,
DATA,4.0000,64,512,1710.1142:437.9985,1708.9293:423.3815,1703.8220:423.2907,
DATA,4.0000,128,512,1779.0253:444.4140,1654.6291:409.8766,1684.2961:419.8492,
DATA,4.0000,256,512,1894.1576:465.9637,1909.5619:485.4494,1902.1514:475.6919,
DATA,4.0000,512,512,1952.0260:496.0139,1955.2988:489.8927,1958.0303:489.5888,
DATA,4.0000,1024,512,1875.6150:482.4390,1937.7552:482.8676,1931.3242:483.3036,
DATA,4.0000,2048,512,1836.4210:467.2969,1920.4124:481.4671,1918.5727:482.7355,
DATA,4.0000,32,1024,1470.3592:360.0378,1451.7239:371.3615,1464.3724:373.9955,
DATA,4.0000,64,1024,1659.8884:416.0049,1659.5978:412.8193,1656.6107:416.5753,
DATA,4.0000,128,1024,1736.2093:435.3882,1729.1699:429.6372,1630.4468:405.8736,
DATA,4.0000,256,1024,1784.0684:442.1032,1790.3872:448.1877,1790.0708:453.4129,
DATA,4.0000,512,1024,1855.2103:467.3899,1861.6005:473.9208,1858.8564:471.6106,
DATA,4.0000,1024,1024,1828.4279:453.8591,1854.3427:457.0935,1867.3833:460.3636,
DATA,4.0000,2048,1024,1802.5203:451.9482,1875.4575:465.3663,1865.8569:462.1836,
DATA,4.0000,32,2048,1378.8177:344.1434,1343.5353:342.7960,1363.0910:341.8372,
DATA,4.0000,64,2048,1499.1560:374.5886,1480.8591:378.6723,1492.1241:367.2639,
DATA,4.0000,128,2048,1563.7101:392.0449,1444.4393:360.1051,1447.7375:368.6853,
DATA,4.0000,256,2048,1598.9986:398.8803,1587.6164:388.7408,1625.5541:396.5220,
DATA,4.0000,512,2048,1688.1436:426.7616,1663.6146:417.0209,1663.2510:412.1489,
DATA,4.0000,1024,2048,1680.6565:411.2330,1685.7823:413.5859,1687.0545:422.8663,
DATA,4.0000,2048,2048,1616.2022:403.8307,1690.0803:425.5105,1655.8195:422.1085,
DATA,4.0000,32,4096,1219.8471:304.3886,1215.0162:304.8551,1218.1395:302.8222,
DATA,4.0000,64,4096,1289.2539:326.2693,1213.0422:301.7803,1199.3194:302.3028,
DATA,4.0000,128,4096,1382.3968:339.6472,1377.5742:345.2495,1375.0198:345.9422,
DATA,4.0000,256,4096,1386.4048:347.7629,1389.8843:355.1407,1404.0908:349.1736,
DATA,4.0000,512,4096,1425.9834:353.7236,1419.1055:354.4946,1411.9947:348.8542,
DATA,4.0000,1024,4096,1407.9512:346.8595,1437.4527:353.5560,1437.0954:354.3606,
DATA,4.0000,2048,4096,1404.1442:345.7404,1464.7993:364.4831,1450.6164:360.8700,
DATA,4.0000,32,8192,990.0312:245.1590,998.9258:253.2364,995.5906:243.5377,
DATA,4.0000,64,8192,1059.5661:263.7321,999.0272:254.2056,993.5566:246.4659,
DATA,4.0000,128,8192,1091.4925:269.5354,1097.7084:280.6095,1096.2517:277.7670,
DATA,4.0000,256,8192,1115.1740:276.8358,1118.2017:278.5571,1115.8116:279.4350,
DATA,4.0000,512,8192,1148.6703:290.5978,1160.5960:287.2102,1149.0829:294.9139,
DATA,4.0000,1024,8192,1125.5281:280.8673,1135.2655:277.7502,1158.4150:282.9837,
DATA,4.0000,2048,8192,1087.3904:274.1958,1158.9627:298.8054,1174.1845:287.3287,
DATA,4.0000,32,16384,680.3611:171.0476,702.5475:177.0437,681.7073:170.8315,
DATA,4.0000,64,16384,768.2226:192.3910,755.3609:192.7979,729.8022:183.3160,
DATA,4.0000,128,16384,807.4332:204.0305,800.4050:200.8741,798.7341:204.0445,
DATA,4.0000,256,16384,817.9211:202.1291,801.8376:201.9614,810.0825:206.2044,
DATA,4.0000,512,16384,847.3676:212.0199,822.7665:207.2095,829.9523:207.7447,
DATA,4.0000,1024,16384,846.2132:210.6938,846.0092:212.9186,847.4753:209.9893,
DATA,4.0000,2048,16384,831.8979:206.2532,877.2344:219.0693,890.5862:222.3708,
