type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1629.5874:405.7642,1630.4791:408.0775,1629.6799:408.7426,
DATA,4.0000,64,256,1783.6943:449.8283,1788.9557:447.2336,1792.7441:453.6747,
DATA,4.0000,128,256,1881.4108:469.8691,1884.0067:473.3430,1886.1643:466.8265,
DATA,4.0000,256,256,1975.5738:491.2587,1974.3915:486.7430,1969.2868:492.5394,
DATA,4.0000,512,256,1935.7197:481.8972,1951.6963:484.2377,1943.5386:499.0513,
DATA,4.0000,1024,256,1997.6564:508.6689,2040.6195:520.5797,2033.0522:510.5397,
DATA,4.0000,2048,256,1882.5931:463.2182,1932.4393:475.7847,1945.2361:500.6874,
DATA,4.0000,32,512,1522.0472:384.9916,1536.2662:380.5653,1536.0390:384.9218,
DATA,4.0000,64,512,1715.7319:424.3812,1714.8607:431.7055,1712.7703:434.0931,
DATA,4.0000,128,512,1810.6464:452.4227,1796.8070:454.3156,1674.8861:416.2476,
DATA,4.0000,256,512,1885.7858:466.3688,1893.0719:468.7035,1881.1434:477.7471,
DATA,4.0000,512,512,1909.8093:476.8190,1926.7446:479.9662,1916.3648:480.6234,
DATA,4.0000,1024,512,1928.3151:480.7621,1958.2766:492.2123,1985.2420:486.0607,
DATA,4.0000,2048,512,1853.7942:463.3939,1955.4201:490.6529,1940.5645:485.0236,
DATA,4.0000,32,1024,1495.8934:369.8214,1475.8745:370.2131,1454.1562:351.9294,
DATA,4.0000,64,1024,1626.4130:411.7877,1623.3200:395.8839,1613.2073:402.3406,
DATA,4.0000,128,1024,1751.8150:431.6174,1730.6016:429.8315,1718.6216:428.4103,
DATA,4.0000,256,1024,1680.5408:421.7978,1791.4713:451.7167,1788.8876:440.5702,
DATA,4.0000,512,1024,1845.3199:455.0817,1852.3641:452.9206,1854.1076:471.1066,
DATA,4.0000,1024,1024,1788.2315:446.4324,1804.4248:448.6871,1790.1979:447.4182,
DATA,4.0000,2048,1024,1799.2565:457.7297,1857.2992:464.3322,1881.5793:466.0204,
DATA,4.0000,32,2048,1387.0513:349.3646,1375.5329:339.1644,1362.3047:339.7240,
DATA,4.0000,64,2048,1502.9388:378.6007,1492.9937:370.3589,1500.0450:370.1843,
DATA,4.0000,128,2048,1592.2597:397.6519,1565.9202:397.5079,1455.7286:363.4647,
DATA,4.0000,256,2048,1659.6555:411.6928,1643.0749:407.8245,1647.0627:414.4852,
DATA,4.0000,512,2048,1669.9368:415.8510,1669.5277:420.2227,1673.7711:415.2277,
DATA,4.0000,1024,2048,1622.6122:404.0172,1647.4132:417.0572,1653.4446:409.7554,
DATA,4.0000,2048,2048,1642.8527:413.1080,1703.3833:421.7329,1705.9871:425.0771,
DATA,4.0000,32,4096,1200.5729:300.7425,1188.9550:300.6256,1193.0520:295.8433,
DATA,4.0000,64,4096,1301.5664:331.4313,1255.4704:315.2396,1197.2134:302.8951,
DATA,4.0000,128,4096,1360.3854:329.5711,1362.9506:342.8257,1360.7725:342.2268,
DATA,4.0000,256,4096,1399.2261:348.7936,1385.3464:347.3266,1390.9827:350.2082,
DATA,4.0000,512,4096,1415.9419:350.9616,1422.7593:357.4079,1415.4178:359.2039,
DATA,4.0000,1024,4096,1357.9576:346.0592,1382.2215:352.2431,1386.3396:340.7468,
DATA,4.0000,2048,4096,1396.6821:352.7490,1448.4416:357.4093,1447.9463:360.9787,
DATA,4.0000,32,8192,981.9660:243.5607,985.8229:245.8091,980.5088:246.8140,
DATA,4.0000,64,8192,1048.5948:264.6421,996.3343:248.7401,961.6052:240.2788,
DATA,4.0000,128,8192,1094.2626:271.7865,1079.5891:272.4286,1093.2455:270.7175,
DATA,4.0000,256,8192,1118.2751:279.6273,1115.4561:283.1940,1119.2540:277.9521,
DATA,4.0000,512,8192,1137.7996:280.1506,1136.7223:284.8406,1125.4856:282.7350,
DATA,4.0000,1024,8192,1162.3899:285.2725,1185.3296:297.1048,1167.1520:295.8258,
DATA,4.0000,2048,8192,1116.8802:278.6576,1160.3483:291.3563,1168.8978:300.7819,
DATA,4.0000,32,16384,722.6932:181.7585,714.4404:173.3940,698.6876:171.6473,
DATA,4.0000,64,16384,785.9025:196.0817,784.0690:197.8068,769.9529:191.9584,
DATA,4.0000,128,16384,812.5796:203.7531,814.0399:203.6358,802.6013:202.3314,
DATA,4.0000,256,16384,823.3887:210.7566,827.3936:202.3928,821.6319:208.2866,
DATA,4.0000,512,16384,827.5667:205.9573,827.6438:204.2775,826.0044:208.8535,
DATA,4.0000,1024,16384,843.1155:211.7662,864.5134:211.5168,882.4755:224.8400,
DATA,4.0000,2048,16384,849.3451:211.5730,797.8172:200.3218,899.7727:226.5223,
