type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1495.9780:378.9675,1516.8698:383.7772,1511.0953:376.6869,
DATA,4.0000,64,256,1615.7223:399.0390,1610.5845:413.5212,1622.6329:401.2014,
DATA,4.0000,128,256,1709.2344:425.3717,1699.1713:423.2464,1698.3839:425.0619,
DATA,4.0000,256,256,1794.4223:447.5757,1784.4821:447.1023,1786.6081:450.1068,
DATA,4.0000,512,256,1756.5921:438.4951,1790.3070:447.9054,1796.6512:453.0917,
DATA,4.0000,1024,256,1800.1767:447.1325,1799.7184:455.4630,1807.3683:461.3148,
DATA,4.0000,2048,256,1707.8383:432.3608,1726.2963:429.4351,1738.2258:443.8039,
DATA,4.0000,32,512,1374.1666:349.1848,1370.7642:344.1472,1369.6569:339.4670,
DATA,4.0000,64,512,1529.3313:375.9879,1531.1373:389.1779,1531.3091:385.5012,
DATA,4.0000,128,512,1600.6235:401.0987,1592.7051:399.5131,1613.2869:405.4863,
DATA,4.0000,256,512,1662.6237:416.2671,1647.6007:409.2160,1655.4176:410.8862,
DATA,4.0000,512,512,1710.2330:429.5582,1704.6570:423.2609,1695.5877:424.7217,
DATA,4.0000,1024,512,1691.9661:423.1591,1685.7731:421.4319,1680.0135:420.0631,
DATA,4.0000,2048,512,1726.5756:422.4844,1728.2435:426.4470,1728.9843:431.3429,
DATA,4.0000,32,1024,1303.8412:322.3008,1312.1120:324.3847,1304.9688:327.0988,
DATA,4.0000,64,1024,1479.0429:370.3129,1460.5093:364.5772,1463.2451:362.7473,
DATA,4.0000,128,1024,1531.4574:386.7829,1524.1455:385.4213,1542.4692:376.6682,
DATA,4.0000,256,1024,1574.6990:397.8498,1575.8599:388.4547,1567.4316:391.0191,
DATA,4.0000,512,1024,1588.2510:394.1672,1587.9853:391.8305,1587.0492:389.5242,
DATA,4.0000,1024,1024,1651.9559:411.9279,1657.0440:415.8245,1649.1359:409.8187,
DATA,4.0000,2048,1024,1582.8981:397.5782,1592.5105:393.9817,1577.5318:391.7449,
DATA,4.0000,32,2048,1215.3132:300.6043,1208.0247:303.7823,1202.3555:300.2118,
DATA,4.0000,64,2048,1317.6864:328.5954,1308.8925:327.6645,1305.4259:333.6619,
DATA,4.0000,128,2048,1360.4809:344.2059,1361.0227:343.9958,1356.7393:347.7838,
DATA,4.0000,256,2048,1443.2823:360.0835,1427.4431:360.3388,1437.0856:355.0475,
DATA,4.0000,512,2048,1427.6695:355.9757,1427.3911:355.9035,1430.4121:359.1912,
DATA,4.0000,1024,2048,1462.3375:357.3390,1471.0878:366.2857,1456.8520:361.6826,
DATA,4.0000,2048,2048,1425.0198:353.9171,1477.3301:371.2554,1449.0805:364.4730,
DATA,4.0000,32,4096,1110.7887:280.7926,1092.8199:273.4941,1085.8475:270.7149,
DATA,4.0000,64,4096,1169.7169:294.9860,1163.2410:288.7740,1175.7767:291.9236,
DATA,4.0000,128,4096,1196.7690:301.7357,1204.3423:302.6594,1201.2328:295.2910,
DATA,4.0000,256,4096,1237.0537:308.7920,1230.9905:311.7131,1227.8414:296.5107,
DATA,4.0000,512,4096,1275.0567:323.8709,1272.3066:322.3298,1276.2645:315.5165,
DATA,4.0000,1024,4096,1270.2231:315.4989,1269.1244:314.5976,1267.5292:317.4706,
DATA,4.0000,2048,4096,1294.2087:324.2318,1293.4046:324.9164,1282.6476:324.6009,
DATA,4.0000,32,8192,912.9242:229.6303,909.0621:227.8046,906.6956:220.8105,
DATA,4.0000,64,8192,963.9047:239.3204,962.0022:236.0674,958.7163:238.9890,
DATA,4.0000,128,8192,1004.5309:254.4979,1003.7974:248.1585,1002.6832:251.7008,
DATA,4.0000,256,8192,1050.9142:258.9928,1052.9730:259.1074,1054.9015:264.4479,
DATA,4.0000,512,8192,1049.2492:262.9555,1050.3802:264.0005,1042.3692:261.8496,
DATA,4.0000,1024,8192,1047.2679:262.3226,1060.1138:268.2626,1063.5254:265.1674,
DATA,4.0000,2048,8192,1076.0876:266.1967,1080.6849:268.3775,1077.4416:268.9210,
DATA,4.0000,32,16384,649.9991:163.1907,648.4243:160.4882,646.7078:158.3156,
DATA,4.0000,64,16384,708.5622:181.0750,708.0667:177.6358,699.4999:174.7212,
DATA,4.0000,128,16384,741.2295:182.6700,740.6093:185.0331,733.9716:181.9086,
DATA,4.0000,256,16384,769.2195:189.2185,764.5704:192.9106,759.7078:192.3237,
DATA,4.0000,512,16384,793.8426:197.4904,791.4517:195.8816,789.2892:197.1424,
DATA,4.0000,1024,16384,792.5390:197.4545,790.1981:197.1325,786.0498:196.3383,
DATA,4.0000,2048,16384,814.1231:206.3385,811.4405:204.9759,805.1209:200.0294,
DATA,4.0000,32,32768,477.8541:118.3456,477.8714:119.6470,478.4446:120.1347,
DATA,4.0000,64,32768,499.1457:123.3845,493.0244:124.3973,483.5106:118.4094,
DATA,4.0000,128,32768,533.6521:130.1428,526.6574:132.2134,525.7792:131.8048,
DATA,4.0000,256,32768,554.4813:139.4156,551.3360:137.9178,553.5432:139.3478,
DATA,4.0000,512,32768,557.2352:140.2983,559.1570:139.2263,551.1820:137.0011,
DATA,4.0000,1024,32768,566.6339:140.7912,567.2506:142.0423,563.5468:140.3704,
DATA,4.0000,2048,32768,585.5773:150.0972,593.2040:150.0001,588.6394:147.0703,
