type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1249.9666:314.4075,1252.6873:315.9548,1249.6633:310.9713,
DATA,4.0000,64,256,1329.2607:332.6458,1333.7166:336.3014,1321.9554:329.9491,
DATA,4.0000,128,256,1401.5566:349.4220,1405.4592:355.0999,1404.4989:354.0147,
DATA,4.0000,256,256,1469.8826:365.7628,1459.2726:363.2150,1473.9655:369.0672,
DATA,4.0000,512,256,1490.3144:379.7895,1488.6310:375.1694,1488.0722:381.0977,
DATA,4.0000,1024,256,1520.0729:383.3124,1510.2007:366.7673,1518.0261:378.3783,
DATA,4.0000,2048,256,1512.8131:377.1807,1513.3793:383.1985,1513.8378:373.4799,
DATA,4.0000,32,512,1112.4219:277.5833,1069.7909:273.7614,1067.9803:265.8941,
DATA,4.0000,64,512,1154.2801:292.7278,1213.1190:303.5041,1226.7378:309.9807,
DATA,4.0000,128,512,1296.9229:324.0643,1294.9833:324.0984,1284.4920:321.1516,
DATA,4.0000,256,512,1400.0229:348.0207,1389.8393:351.1849,1399.9931:350.7692,
DATA,4.0000,512,512,1437.0341:360.1004,1432.6648:355.3897,1429.9612:362.1850,
DATA,4.0000,1024,512,1452.4317:356.8293,1452.1107:361.9520,1450.3073:366.6015,
DATA,4.0000,2048,512,1441.8229:360.3769,1444.0266:359.3155,1434.2295:358.7274,
DATA,4.0000,32,1024,1122.7295:280.2952,1122.7765:274.9275,1119.4860:279.4509,
DATA,4.0000,64,1024,1220.3057:302.9422,1219.9076:307.9921,1219.0474:305.0983,
DATA,4.0000,128,1024,1319.6057:329.7356,1312.3414:323.3313,1307.4807:330.3407,
DATA,4.0000,256,1024,1365.8074:341.4017,1356.3399:342.2124,1351.6822:338.7948,
DATA,4.0000,512,1024,1374.0539:343.6664,1379.5124:347.4900,1377.1999:346.0537,
DATA,4.0000,1024,1024,1393.3957:349.2341,1398.9665:345.9199,1402.3146:347.4835,
DATA,4.0000,2048,1024,1397.3499:345.7842,1396.1591:358.0470,1385.5876:345.5682,
DATA,4.0000,32,2048,1064.0882:268.3197,1055.1247:263.5826,1058.4306:267.8901,
DATA,4.0000,64,2048,1141.3805:282.1390,1141.5037:281.7800,1127.7167:283.0205,
DATA,4.0000,128,2048,1205.9814:301.2882,1205.1661:299.6638,1195.7013:305.1109,
DATA,4.0000,256,2048,1237.0407:313.3155,1241.7619:313.7610,1241.7582:313.5067,
DATA,4.0000,512,2048,1259.1795:314.3398,1261.1981:320.0252,1268.8593:319.1033,
DATA,4.0000,1024,2048,1279.1559:322.5973,1274.6928:318.5286,1269.7278:319.1047,
DATA,4.0000,2048,2048,1276.7684:323.5009,1299.0576:322.0389,1299.7076:322.6829,
DATA,4.0000,32,4096,974.6173:244.3853,976.5063:247.4921,979.5813:243.9752,
DATA,4.0000,64,4096,1039.9194:258.7445,1030.8624:258.0686,1032.3251:258.5958,
DATA,4.0000,128,4096,1073.3174:266.3160,1067.4122:266.9400,1071.9606:265.8049,
DATA,4.0000,256,4096,1117.7088:278.7903,1119.6790:283.4866,1113.1294:277.0955,
DATA,4.0000,512,4096,1142.3996:291.6434,1136.1624:285.4888,1146.9097:286.3452,
DATA,4.0000,1024,4096,1153.2267:288.6119,1148.3663:283.7439,1137.8841:283.5446,
DATA,4.0000,2048,4096,1163.8719:291.6617,1166.7274:289.4128,1161.6980:291.6727,
DATA,4.0000,32,8192,842.0042:208.5300,836.2646:211.0815,833.8182:205.7769,
DATA,4.0000,64,8192,887.2686:219.1485,879.7975:220.9922,879.8256:217.6481,
DATA,4.0000,128,8192,915.3424:232.2489,909.3748:227.3653,919.7431:232.9862,
DATA,4.0000,256,8192,933.9364:236.0539,933.4723:230.2167,933.7164:234.1204,
DATA,4.0000,512,8192,959.9137:239.4005,958.6651:239.9336,957.1704:238.9742,
DATA,4.0000,1024,8192,967.4813:242.1889,960.6757:241.5659,959.1877:239.5674,
DATA,4.0000,2048,8192,937.2662:237.0461,965.1965:244.6259,968.2732:242.6758,
DATA,4.0000,32,16384,610.8272:153.0121,606.0600:152.2351,600.9555:151.4802,
DATA,4.0000,64,16384,655.2981:160.7435,655.8359:162.9143,653.8489:163.0326,
DATA,4.0000,128,16384,703.0161:177.6018,702.6923:176.9472,702.3645:174.0321,
DATA,4.0000,256,16384,727.7609:182.1194,724.1386:181.3699,712.8190:178.4250,
DATA,4.0000,512,16384,745.8364:186.1949,742.7636:189.0170,739.8057:185.2459,
DATA,4.0000,1024,16384,753.2912:187.6084,745.5124:184.8549,749.4709:188.3431,
DATA,4.0000,2048,16384,715.2638:177.8818,764.0605:189.1844,767.3218:191.6437,
DATA,4.0000,32,32768,449.3480:113.1665,445.0823:110.2708,443.0805:112.9105,
DATA,4.0000,64,32768,478.9842:122.0437,476.9131:118.5877,475.7282:119.3482,
DATA,4.0000,128,32768,508.3651:130.2197,506.8925:126.3906,503.3244:126.2387,
DATA,4.0000,256,32768,516.3189:128.7237,509.8497:126.2513,504.2855:128.2835,
DATA,4.0000,512,32768,529.8588:133.2913,516.5760:129.7079,526.0149:130.3031,
DATA,4.0000,1024,32768,544.9049:137.6017,546.2502:135.2290,545.4900:138.4538,
DATA,4.0000,2048,32768,522.0700:130.3147,562.5377:141.6987,553.8851:140.3765,
