type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1473.8147:366.0597,1473.0440:370.7954,1486.7075:371.0724,
DATA,4.0000,64,256,1591.2412:399.8472,1594.4546:393.1908,1589.9297:395.6929,
DATA,4.0000,128,256,1660.4494:421.9773,1659.5726:417.9401,1660.9349:415.2795,
DATA,4.0000,256,256,1711.8767:424.6431,1717.3903:428.5859,1714.8326:424.5661,
DATA,4.0000,512,256,1709.1014:434.1307,1731.7708:430.5845,1727.0004:430.3847,
DATA,4.0000,1024,256,1747.3933:427.8498,1756.7914:447.1276,1765.8926:447.9151,
DATA,4.0000,2048,256,1665.5769:413.0751,1721.4478:437.4117,1718.8231:427.0891,
DATA,4.0000,32,512,1334.1244:329.9098,1338.0026:329.9139,1330.6674:327.8972,
DATA,4.0000,64,512,1494.1968:380.6229,1486.5002:370.0281,1490.1213:370.9834,
DATA,4.0000,128,512,1558.0470:390.8694,1553.5982:392.8636,1561.9099:398.4896,
DATA,4.0000,256,512,1610.9275:399.8484,1604.5854:400.4866,1599.8268:392.5732,
DATA,4.0000,512,512,1677.8734:424.9777,1676.6239:425.6407,1684.1633:423.0525,
DATA,4.0000,1024,512,1649.3823:415.5348,1639.6538:415.5205,1640.6454:410.6325,
DATA,4.0000,2048,512,1595.8003:406.2837,1630.2285:406.6090,1656.7385:416.1282,
DATA,4.0000,32,1024,1308.8608:326.8457,1299.0052:328.5334,1313.7142:327.1565,
DATA,4.0000,64,1024,1429.8179:362.2899,1437.8504:359.7752,1430.9904:359.3486,
DATA,4.0000,128,1024,1542.1631:391.1887,1545.8530:382.0688,1523.7098:377.4013,
DATA,4.0000,256,1024,1554.8228:398.3558,1553.2519:394.7309,1538.3849:384.6735,
DATA,4.0000,512,1024,1595.0766:409.0113,1603.6659:404.2500,1573.8644:394.8868,
DATA,4.0000,1024,1024,1579.8088:393.3784,1569.4618:397.7803,1575.0795:392.1052,
DATA,4.0000,2048,1024,1624.0420:407.8590,1621.0060:410.7772,1618.7000:407.1324,
DATA,4.0000,32,2048,1222.2499:302.3213,1211.5182:305.1916,1210.7167:307.9908,
DATA,4.0000,64,2048,1325.5487:332.4207,1318.3250:337.1896,1323.4724:330.8640,
DATA,4.0000,128,2048,1391.1783:348.3081,1379.5279:344.6557,1378.1839:345.1421,
DATA,4.0000,256,2048,1429.0781:356.9156,1414.4168:355.1802,1413.4125:350.4722,
DATA,4.0000,512,2048,1443.3154:371.9331,1440.3205:361.0648,1434.9214:359.8427,
DATA,4.0000,1024,2048,1455.5711:367.1864,1465.5222:363.6321,1463.5692:366.8178,
DATA,4.0000,2048,2048,1440.4873:360.1902,1450.3593:362.7547,1446.3834:355.5896,
DATA,4.0000,32,4096,1098.3231:271.0877,1099.6071:272.6710,1097.1985:275.4314,
DATA,4.0000,64,4096,1166.0856:291.6281,1166.7190:289.4208,1179.6922:296.4706,
DATA,4.0000,128,4096,1240.7340:308.6671,1247.0904:313.9174,1226.0667:310.3493,
DATA,4.0000,256,4096,1253.1651:311.7931,1247.5945:315.3641,1242.9235:313.6039,
DATA,4.0000,512,4096,1273.4626:316.1561,1275.0561:315.4533,1265.5073:318.3176,
DATA,4.0000,1024,4096,1288.8854:324.9812,1280.1270:320.5666,1278.1423:318.2778,
DATA,4.0000,2048,4096,1267.2301:317.8250,1270.6202:316.7694,1258.6818:311.4706,
DATA,4.0000,32,8192,921.0624:232.4561,932.0809:231.6516,934.0086:232.7429,
DATA,4.0000,64,8192,987.4492:243.2124,992.8904:248.7489,993.1402:252.1591,
DATA,4.0000,128,8192,1016.6729:258.6924,1008.9194:256.5295,1008.8984:250.4883,
DATA,4.0000,256,8192,1047.6728:260.5350,1043.3866:260.2882,1035.9924:254.2173,
DATA,4.0000,512,8192,1055.4980:263.4224,1048.9680:268.2941,1043.5245:263.1554,
DATA,4.0000,1024,8192,1081.8216:274.3212,1083.9521:270.5246,1083.0817:271.3902,
DATA,4.0000,2048,8192,1061.3338:268.0857,1069.2537:274.0920,1073.5523:264.1473,
DATA,4.0000,32,16384,648.3187:160.3406,640.5887:159.7268,643.3387:156.3955,
DATA,4.0000,64,16384,739.2735:188.9950,740.4927:187.0472,734.3869:183.6879,
DATA,4.0000,128,16384,731.2151:183.6496,731.2839:182.9329,726.8733:182.8997,
DATA,4.0000,256,16384,776.6584:190.5826,769.4322:190.6014,770.1999:189.7366,
DATA,4.0000,512,16384,785.4666:194.9865,777.5764:191.9332,770.2477:190.6122,
DATA,4.0000,1024,16384,780.7776:195.8160,801.6031:200.6145,788.3863:198.7395,
DATA,4.0000,2048,16384,768.7085:193.4788,791.8253:197.4683,805.7421:206.1714,
