type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1488.6139:368.1146,1480.8022:366.9208,1465.9374:362.9633,
DATA,4.0000,64,256,1598.6473:405.4199,1651.3753:413.5101,1650.4392:414.4130,
DATA,4.0000,128,256,1723.8832:426.8954,1707.9454:434.2002,1699.4623:429.2118,
DATA,4.0000,256,256,1806.4980:451.2006,1802.0172:455.1051,1797.6724:442.2412,
DATA,4.0000,512,256,1884.0971:477.2690,1886.0599:477.0008,1888.6567:466.7984,
DATA,4.0000,1024,256,1866.2665:468.4868,1905.1363:475.4585,1905.8144:467.9514,
DATA,4.0000,2048,256,1837.0933:451.9723,1872.4121:462.4579,1862.6154:466.0775,
DATA,4.0000,32,512,1443.3574:363.9113,1448.7383:352.6348,1434.0475:353.1052,
DATA,4.0000,64,512,1592.5400:404.3713,1608.6372:397.7146,1597.8365:392.6749,
DATA,4.0000,128,512,1634.8952:411.7361,1692.6992:421.1515,1693.3573:422.2551,
DATA,4.0000,256,512,1701.6669:424.3953,1682.9359:419.1903,1693.0086:421.6968,
DATA,4.0000,512,512,1844.0615:462.3868,1842.2312:456.9110,1835.0632:461.0281,
DATA,4.0000,1024,512,1848.4488:462.9276,1871.6304:466.9516,1872.1970:462.6761,
DATA,4.0000,2048,512,1723.9910:419.2425,1786.4945:440.2557,1824.5384:456.9011,
