type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1353.4685:344.7347,1401.0265:352.8430,1403.6603:352.0110,
DATA,4.0000,64,256,1538.8424:381.3813,1551.3242:384.0026,1627.3310:414.9888,
DATA,4.0000,128,256,1753.5329:434.4288,1740.0218:442.7926,1737.6767:439.8058,
DATA,4.0000,256,256,1825.5698:456.3045,1827.1469:457.9712,1849.1428:460.8720,
DATA,4.0000,512,256,1857.4706:471.6673,1874.8671:470.4418,1888.5629:470.3965,
DATA,4.0000,1024,256,1836.5835:458.0091,1860.9395:459.2352,1876.7514:457.6768,
DATA,4.0000,2048,256,1822.5345:460.4014,1856.3821:462.7163,1859.6972:471.2993,
DATA,4.0000,32,512,1444.6418:360.4819,1440.6884:364.5933,1400.1362:347.2365,
DATA,4.0000,64,512,1593.3194:402.6700,1587.2623:399.6844,1583.4691:392.2588,
DATA,4.0000,128,512,1620.1608:403.7683,1688.1562:416.5584,1629.5111:417.5556,
DATA,4.0000,256,512,1750.9871:435.0465,1769.5638:438.6724,1784.1860:440.6893,
DATA,4.0000,512,512,1807.9560:447.4594,1808.8569:453.6766,1795.2654:452.5437,
DATA,4.0000,1024,512,1838.8922:451.7702,1858.9109:465.2415,1830.5994:467.7664,
DATA,4.0000,2048,512,1767.7092:435.8231,1833.4530:461.8804,1842.6355:463.1653,
