type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1472.2028:369.1550,1470.6602:371.7157,1470.0894:362.7553,
DATA,4.0000,64,256,1629.8248:407.6619,1625.4612:416.2634,1631.5076:405.7748,
DATA,4.0000,128,256,1746.9736:448.1490,1747.4753:428.1481,1751.3094:436.4997,
DATA,4.0000,256,256,1831.7364:467.7931,1837.9691:451.6841,1822.2814:453.2776,
DATA,4.0000,512,256,1875.8439:467.8111,1889.1346:475.2920,1901.5218:481.3803,
DATA,4.0000,1024,256,1885.0950:470.5162,1890.4187:477.6447,1878.3547:464.5062,
DATA,4.0000,2048,256,1843.1147:455.7753,1886.4303:454.9480,1896.9759:475.7368,
DATA,4.0000,32,512,1438.3099:366.1632,1451.1737:362.6555,1448.9536:360.1119,
DATA,4.0000,64,512,1525.4820:377.5606,1486.9607:378.5934,1549.4130:392.1401,
DATA,4.0000,128,512,1700.1501:420.9101,1711.3440:430.0223,1704.1749:428.4917,
DATA,4.0000,256,512,1789.4274:446.3463,1779.8040:445.3845,1774.9835:447.2267,
DATA,4.0000,512,512,1797.3143:452.6044,1822.7876:459.6580,1811.6663:453.2765,
DATA,4.0000,1024,512,1797.8299:450.5280,1857.5180:461.2619,1854.7878:459.9792,
DATA,4.0000,2048,512,1739.1042:439.5826,1799.2594:447.9714,1848.4667:463.2632,
