type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d6c0127"
DATA,4.0000,32,256,1515.5472:386.2067,1521.5453:373.1844,1512.0504:381.8893,
DATA,4.0000,64,256,1512.5816:381.5037,1515.5566:378.5485,1586.8900:392.3154,
DATA,4.0000,128,256,1703.6578:427.5515,1694.3905:429.7510,1733.4662:421.9371,
DATA,4.0000,256,256,1787.3188:444.9616,1790.7688:439.2568,1795.1266:453.9302,
DATA,4.0000,512,256,1903.5933:472.8934,1910.4224:478.1034,1925.0724:472.3887,
DATA,4.0000,1024,256,1840.1248:461.8769,1878.0112:464.6339,1882.4475:465.8588,
DATA,4.0000,2048,256,1883.2820:465.3184,1948.4158:472.0801,1924.1633:486.5980,
DATA,4.0000,32,512,1400.0294:351.0091,1388.3593:343.9696,1394.9267:349.5154,
DATA,4.0000,64,512,1492.0416:370.9110,1563.1673:393.4794,1562.6325:389.0914,
DATA,4.0000,128,512,1710.6191:422.8998,1736.8996:430.2091,1745.7054:435.2727,
DATA,4.0000,256,512,1810.4015:453.0965,1808.7699:451.7280,1797.6789:443.9267,
DATA,4.0000,512,512,1799.9717:449.1916,1802.6480:445.2508,1816.2968:459.5783,
DATA,4.0000,1024,512,1822.0123:453.4501,1879.9319:468.9115,1874.9674:469.8527,
DATA,4.0000,2048,512,1746.9451:434.6252,1793.1507:449.0941,1791.5819:448.7437,
