type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1642.9849:407.4617,1643.5844:415.6826,1650.3232:415.5749,
DATA,4.0000,64,256,1809.2927:457.8743,1805.9020:448.3152,1797.4218:451.9929,
DATA,4.0000,128,256,1905.7323:473.2732,1917.4241:477.4913,1916.0347:479.9501,
DATA,4.0000,256,256,1990.2083:496.2381,2001.2507:500.5490,1995.4211:499.2755,
DATA,4.0000,512,256,2049.8744:508.0564,2039.9580:509.6630,2028.3726:513.9505,
DATA,4.0000,1024,256,2037.2183:512.2629,2051.4896:497.3986,2051.3920:519.4916,
DATA,4.0000,2048,256,1922.1172:491.5246,1935.4773:490.6681,1954.0448:482.2490,
DATA,4.0000,32,512,1499.9654:375.1318,1502.5094:374.4057,1489.3949:375.8441,
DATA,4.0000,64,512,1736.1816:441.1676,1735.9385:434.6309,1734.8860:437.5720,
DATA,4.0000,128,512,1748.2799:432.2114,1827.2456:448.8375,1837.2439:463.1063,
DATA,4.0000,256,512,1881.7111:468.1849,1878.7461:467.1996,1877.6405:468.5221,
DATA,4.0000,512,512,1918.0946:473.1450,1927.7612:475.8623,1930.0977:472.3493,
DATA,4.0000,1024,512,1869.8442:468.5036,1936.3964:483.6268,1946.7193:482.9127,
DATA,4.0000,2048,512,1814.9462:455.4539,1834.5818:457.6310,1835.8048:458.7184,
