type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1469.8261:369.6161,1454.5064:368.6812,1436.5443:355.0590,
DATA,4.0000,64,256,1638.6415:406.7409,1642.6412:411.5788,1610.2731:407.7608,
DATA,4.0000,128,256,1746.3230:433.4109,1750.9329:446.5680,1741.8077:436.3665,
DATA,4.0000,256,256,1825.8327:461.5927,1836.4002:462.7668,1819.4665:454.0534,
DATA,4.0000,512,256,1876.3481:474.4669,1884.1944:479.3562,1885.9857:480.4559,
DATA,4.0000,1024,256,1806.9348:452.6472,1835.3085:451.8171,1841.7883:459.5462,
DATA,4.0000,2048,256,1779.2663:443.3768,1820.6454:462.3638,1814.7185:449.3940,
DATA,4.0000,32,512,1440.4156:361.5002,1425.0749:354.7556,1426.5097:353.1978,
DATA,4.0000,64,512,1604.4481:413.6698,1602.7469:404.8986,1552.8090:385.6796,
DATA,4.0000,128,512,1577.9622:393.8471,1631.1114:412.0861,1635.1677:405.7279,
DATA,4.0000,256,512,1701.7924:430.5549,1700.9548:428.3678,1775.3948:434.0064,
DATA,4.0000,512,512,1826.7201:458.5588,1837.0094:466.3636,1832.9783:455.3775,
DATA,4.0000,1024,512,1817.8974:460.8024,1845.1935:457.0257,1836.9929:450.8132,
DATA,4.0000,2048,512,1694.9793:421.7051,1717.9457:434.0570,1773.9276:442.8611,
