type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1519.8647:391.4315,1531.1146:379.8631,1523.7148:387.2327,
DATA,4.0000,64,256,1688.6111:418.3577,1686.7309:419.9437,1689.6088:424.9318,
DATA,4.0000,128,256,1780.3787:445.6422,1781.9135:443.9684,1787.8941:451.6674,
DATA,4.0000,256,256,1866.6392:476.0767,1865.5098:459.4411,1853.6106:463.3681,
DATA,4.0000,512,256,1916.7823:471.1166,1924.4737:475.4116,1920.3181:484.2576,
DATA,4.0000,1024,256,1877.4765:477.3739,1901.3460:472.9479,1890.3184:476.9127,
DATA,4.0000,2048,256,1884.5281:471.0902,1941.1805:486.7611,1918.0858:479.7273,
DATA,4.0000,32,512,1464.7615:370.8230,1477.1165:369.3234,1457.2395:364.7637,
DATA,4.0000,64,512,1485.9437:375.6247,1547.5889:393.3451,1589.0258:396.1115,
DATA,4.0000,128,512,1693.3645:426.0296,1723.8646:433.8740,1730.4851:421.6387,
DATA,4.0000,256,512,1807.5421:452.8971,1802.0128:454.4396,1800.2703:444.8927,
DATA,4.0000,512,512,1866.4398:460.5529,1878.8316:474.2156,1870.0689:463.2889,
DATA,4.0000,1024,512,1836.9507:465.6122,1883.6078:475.6441,1894.6658:468.3150,
DATA,4.0000,2048,512,1783.8061:450.0409,1846.1889:456.6087,1843.4468:451.9242,
