type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=a63901f2f"
DATA,4.0000,32,256,1615.0938:399.3913,1611.8103:406.0286,1613.4278:401.5422,
DATA,4.0000,64,256,1712.8116:432.8116,1739.4885:423.5128,1777.0196:441.4761,
DATA,4.0000,128,256,1875.3070:468.6941,1880.6654:468.2254,1868.2290:467.9157,
DATA,4.0000,256,256,1945.4694:495.3839,1957.4253:472.2608,1946.3550:492.9638,
DATA,4.0000,512,256,2021.5858:518.0499,1982.0657:495.8248,2022.2370:505.8325,
DATA,4.0000,1024,256,1969.8661:495.4066,2012.4603:503.6849,2027.2008:502.6840,
DATA,4.0000,2048,256,1897.2418:472.1942,1971.6029:491.4911,1967.4602:485.2134,
DATA,4.0000,32,512,1521.8772:376.8127,1516.4295:371.5530,1505.8181:374.8996,
DATA,4.0000,64,512,1637.5980:411.0352,1604.1286:406.1078,1621.5517:406.6434,
DATA,4.0000,128,512,1829.2937:453.4913,1831.1226:455.5417,1827.4283:453.0879,
DATA,4.0000,256,512,1885.3990:470.5660,1878.3213:463.8884,1864.4979:465.8708,
DATA,4.0000,512,512,1866.3370:469.5214,1931.9862:480.6799,1931.8015:480.6809,
DATA,4.0000,1024,512,1933.5249:480.1314,1964.3695:484.5676,1967.6451:490.9786,
DATA,4.0000,2048,512,1870.3199:469.4687,1940.5752:490.2968,1949.9360:489.2671,
DATA,4.0000,32,1024,1454.8344:362.7068,1480.5575:362.0318,1479.9405:366.4724,
DATA,4.0000,64,1024,1633.5469:408.1692,1635.8440:410.9442,1623.9732:409.6940,
DATA,4.0000,128,1024,1730.6739:432.7145,1724.9008:436.4019,1723.0980:424.1979,
DATA,4.0000,256,1024,1690.0093:415.4872,1786.7374:437.1634,1779.9388:457.3351,
DATA,4.0000,512,1024,1833.3601:452.1421,1837.7767:460.2677,1836.3045:453.5482,
DATA,4.0000,1024,1024,1789.0133:446.1290,1796.1765:458.9144,1797.7345:445.9683,
DATA,4.0000,2048,1024,1777.3715:440.4503,1869.5752:473.8018,1873.9862:474.6224,
DATA,4.0000,32,2048,1393.8789:338.2355,1375.3595:338.4832,1379.5876:349.8663,
DATA,4.0000,64,2048,1519.7214:376.3255,1506.6057:375.4262,1493.7187:372.8627,
DATA,4.0000,128,2048,1545.8478:386.0750,1513.5290:380.4558,1497.2826:372.9579,
DATA,4.0000,256,2048,1582.5060:399.8297,1583.7785:389.0775,1579.1447:404.4356,
DATA,4.0000,512,2048,1545.5358:381.1617,1568.0764:388.5448,1636.1458:414.0829,
DATA,4.0000,1024,2048,1674.4414:409.2294,1693.9481:429.9677,1687.4764:422.3447,
DATA,4.0000,2048,2048,1607.9315:409.0709,1691.6302:419.0253,1685.0533:421.9509,
DATA,4.0000,32,4096,1205.9297:298.5168,1207.4657:302.0162,1206.2454:307.9962,
DATA,4.0000,64,4096,1319.8511:325.6813,1298.8226:327.4267,1295.6855:319.8803,
DATA,4.0000,128,4096,1256.4514:320.2677,1288.9367:325.0962,1352.5332:339.0937,
DATA,4.0000,256,4096,1407.8108:350.3185,1386.7601:346.5929,1391.7069:351.6232,
DATA,4.0000,512,4096,1418.2752:356.3977,1413.6151:356.9824,1415.1021:351.6360,
DATA,4.0000,1024,4096,1418.4446:355.5989,1450.4720:357.5347,1434.4141:356.2362,
DATA,4.0000,2048,4096,1386.4862:349.3461,1453.0010:361.1227,1437.2574:355.3573,
DATA,4.0000,32,8192,984.3937:249.3674,976.5093:246.5421,975.5504:247.1272,
DATA,4.0000,64,8192,1043.8107:264.1510,1035.9989:255.9303,994.7825:245.6545,
DATA,4.0000,128,8192,1101.4946:277.9227,1099.4269:272.2423,1094.8405:277.6873,
DATA,4.0000,256,8192,1108.1100:274.9386,1103.9156:275.7329,1104.5146:273.4258,
DATA,4.0000,512,8192,1124.4404:275.4668,1147.4084:289.5685,1119.6541:284.8913,
DATA,4.0000,1024,8192,1140.4047:284.4531,1148.7675:285.7383,1139.3826:282.1540,
DATA,4.0000,2048,8192,1124.6151:283.0871,1177.1935:294.1840,1169.5681:288.0866,
DATA,4.0000,32,16384,712.0484:181.8557,713.2202:177.9929,687.1807:170.5940,
DATA,4.0000,64,16384,775.9866:190.5644,753.2516:191.1689,744.8095:186.5492,
DATA,4.0000,128,16384,744.9017:183.9467,787.0754:199.3067,804.6288:200.6762,
DATA,4.0000,256,16384,821.3017:208.7715,823.1145:210.2450,821.0024:201.2574,
DATA,4.0000,512,16384,833.8840:208.8802,831.7884:206.4635,829.8102:207.4764,
DATA,4.0000,1024,16384,829.2337:209.3725,877.7730:219.2033,842.5671:209.2454,
DATA,4.0000,2048,16384,858.2787:217.7234,860.7201:214.7006,894.2677:222.9279,
