type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1660.0275:421.3495,1657.5814:414.2885,1659.7683:411.1610,
DATA,4.0000,64,256,1798.2000:443.3275,1792.5594:446.8490,1787.7431:452.4153,
DATA,4.0000,128,256,1940.0806:487.3192,1917.6731:472.7141,1930.7522:487.5780,
DATA,4.0000,256,256,2000.3139:508.0856,2002.6699:496.6006,1996.6861:493.8749,
DATA,4.0000,512,256,2067.4793:516.7316,2080.6622:516.0886,2060.8640:504.9124,
DATA,4.0000,1024,256,2038.7670:506.8607,2069.5991:529.8400,2081.5449:533.9145,
DATA,4.0000,2048,256,1958.3515:486.6678,2032.5337:515.7830,2035.9139:509.0387,
DATA,4.0000,32,512,1558.1646:388.4198,1559.1983:389.8459,1567.6455:394.5589,
DATA,4.0000,64,512,1746.0221:443.4518,1736.1183:435.1660,1740.1877:432.5956,
DATA,4.0000,128,512,1844.4841:459.7851,1848.4148:472.4832,1798.3232:446.8755,
DATA,4.0000,256,512,1844.6108:476.5754,1890.0826:481.5164,1861.3740:469.3361,
DATA,4.0000,512,512,1954.0643:489.4258,1966.4692:474.7652,1965.0602:500.5033,
DATA,4.0000,1024,512,1957.2174:495.8944,1978.3055:496.7460,1993.4109:491.7321,
DATA,4.0000,2048,512,1887.6639:464.4344,1970.9385:493.9086,1967.2594:486.3042,
DATA,4.0000,32,1024,1428.9352:361.5752,1491.3469:383.9434,1412.5976:358.6801,
DATA,4.0000,64,1024,1671.1814:416.7412,1677.0537:415.2318,1675.8493:424.4731,
DATA,4.0000,128,1024,1686.7964:424.6961,1673.3512:416.4886,1703.8636:420.3777,
DATA,4.0000,256,1024,1675.5797:419.0816,1802.8896:448.0063,1836.7484:452.0220,
DATA,4.0000,512,1024,1847.5173:468.1611,1853.1381:458.9950,1846.7974:464.0478,
DATA,4.0000,1024,1024,1792.6458:446.7220,1790.6155:446.8965,1810.4843:449.5956,
DATA,4.0000,2048,1024,1815.6642:449.0570,1897.6155:472.0453,1891.7532:469.5693,
DATA,4.0000,32,2048,1394.0373:350.5146,1384.7963:345.7653,1369.9653:343.1330,
DATA,4.0000,64,2048,1513.7425:372.4470,1507.2347:371.5896,1504.9986:370.7130,
DATA,4.0000,128,2048,1574.0422:388.5442,1567.2445:394.2057,1487.0270:375.3388,
DATA,4.0000,256,2048,1677.4764:414.4939,1655.3925:412.2838,1646.4767:411.1487,
DATA,4.0000,512,2048,1703.8399:421.1561,1714.4612:428.7175,1700.2332:419.4344,
DATA,4.0000,1024,2048,1673.2480:417.7471,1700.2965:418.0016,1706.7136:422.0697,
DATA,4.0000,2048,2048,1640.6159:410.2082,1710.4925:428.9179,1697.2971:427.7430,
DATA,4.0000,32,4096,1211.1778:302.4530,1219.6234:307.7671,1217.6329:305.8548,
DATA,4.0000,64,4096,1307.2798:330.7472,1318.2908:326.8521,1247.9979:314.0671,
DATA,4.0000,128,4096,1362.5368:337.5269,1358.2000:334.7952,1358.1062:344.7573,
DATA,4.0000,256,4096,1405.3381:353.9216,1386.0090:346.7514,1379.1799:348.8892,
DATA,4.0000,512,4096,1429.1254:353.0894,1433.2095:365.7634,1434.3311:355.3404,
DATA,4.0000,1024,4096,1426.6322:357.9612,1440.9538:367.6527,1441.4408:357.8960,
DATA,4.0000,2048,4096,1389.8603:345.5122,1427.1284:352.9634,1437.4500:357.1706,
DATA,4.0000,32,8192,972.1818:247.1177,966.7476:243.7136,971.7373:245.0019,
DATA,4.0000,64,8192,1044.2707:260.7723,1050.2184:261.2401,983.5763:240.6904,
DATA,4.0000,128,8192,1103.0609:271.5018,1103.0407:275.2402,1095.9268:274.3560,
DATA,4.0000,256,8192,1127.5347:284.7061,1122.7938:285.8414,1132.9329:280.2921,
DATA,4.0000,512,8192,1140.6716:283.8018,1156.4010:296.5805,1145.8277:283.0608,
DATA,4.0000,1024,8192,1151.9723:287.2910,1188.8414:297.0493,1185.9509:299.1420,
DATA,4.0000,2048,8192,1139.2792:277.8511,1158.8135:280.7495,1161.8170:288.6094,
DATA,4.0000,32,16384,724.8024:179.4816,725.3379:183.8343,702.4566:176.8226,
DATA,4.0000,64,16384,751.6260:188.8917,755.5182:188.9497,743.9235:182.9891,
DATA,4.0000,128,16384,803.3872:198.9880,808.1037:201.8957,802.3101:196.5801,
DATA,4.0000,256,16384,806.3345:206.1642,777.7408:195.7925,810.3950:203.5073,
DATA,4.0000,512,16384,866.2666:217.4048,856.9518:216.5711,858.0474:212.2557,
DATA,4.0000,1024,16384,831.5451:205.1759,863.3728:218.3701,854.4206:213.0311,
DATA,4.0000,2048,16384,878.0023:216.7654,904.5963:227.7651,896.7743:226.9385,
