type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc609b"
DATA,4.0000,32,256,1643.0682:413.1796,1624.8032:403.7659,1636.6950:412.0925,
DATA,4.0000,64,256,1776.0531:440.1279,1787.4936:442.5175,1778.5724:448.2525,
DATA,4.0000,128,256,1879.9452:464.8141,1901.7559:469.7963,1901.8949:479.9865,
DATA,4.0000,256,256,1983.3123:496.2470,1988.0252:498.2300,1992.1070:496.8326,
DATA,4.0000,512,256,2034.9191:494.7972,1987.9077:500.7454,2057.9761:516.2212,
DATA,4.0000,1024,256,1981.9893:497.8223,2048.0334:513.1608,2039.3454:509.2924,
DATA,4.0000,2048,256,1896.8966:474.0569,1985.3537:500.0018,1983.9506:494.3307,
DATA,4.0000,32,512,1533.3616:394.1827,1526.2184:383.7493,1507.6004:377.6513,
DATA,4.0000,64,512,1707.2943:420.7496,1737.8052:438.9055,1714.0364:434.1986,
DATA,4.0000,128,512,1820.7162:463.0398,1818.5060:453.4200,1828.6384:453.9554,
DATA,4.0000,256,512,1671.6634:421.8275,1826.1680:452.9268,1838.9478:463.7493,
DATA,4.0000,512,512,1955.1082:493.6669,1973.1645:494.8064,1968.9782:490.5534,
DATA,4.0000,1024,512,1933.8436:475.3355,1939.3211:481.2342,1920.7630:483.0864,
DATA,4.0000,2048,512,1862.6958:472.6779,1960.9337:492.8077,1961.4588:499.4772,
DATA,4.0000,32,1024,1475.8616:370.5803,1489.8010:375.3872,1489.3764:376.9157,
DATA,4.0000,64,1024,1548.2703:387.4494,1551.8470:392.8699,1559.1544:393.3440,
DATA,4.0000,128,1024,1729.3220:438.0667,1723.2978:431.5149,1723.6933:429.9687,
DATA,4.0000,256,1024,1679.5764:414.9597,1670.4048:413.1473,1791.4402:452.2773,
DATA,4.0000,512,1024,1839.1476:450.9074,1849.2934:465.4770,1840.8677:458.5784,
DATA,4.0000,1024,1024,1820.7438:455.2104,1833.6741:452.1076,1817.2778:454.5379,
DATA,4.0000,2048,1024,1797.1338:441.6175,1872.1582:480.2912,1865.4661:461.7205,
DATA,4.0000,32,2048,1386.8462:354.0661,1381.9616:349.7747,1386.6689:338.2950,
DATA,4.0000,64,2048,1489.9829:364.3801,1478.3461:369.2557,1485.5057:366.7859,
DATA,4.0000,128,2048,1591.5547:395.1977,1585.0263:396.9423,1577.4736:391.7432,
DATA,4.0000,256,2048,1622.6526:414.8728,1653.4025:411.0187,1649.8214:410.8469,
DATA,4.0000,512,2048,1664.3560:416.7048,1653.8115:419.2506,1669.5071:418.9450,
DATA,4.0000,1024,2048,1645.3916:416.3223,1684.9226:418.5053,1687.8243:424.6728,
DATA,4.0000,2048,2048,1620.6909:402.9546,1686.4892:423.0551,1694.2744:421.8295,
DATA,4.0000,32,4096,1187.9482:299.4397,1185.4864:291.6792,1206.7852:299.4732,
DATA,4.0000,64,4096,1311.3414:326.6059,1296.3994:324.6238,1296.2173:327.0551,
DATA,4.0000,128,4096,1319.2095:337.2081,1356.4284:340.0787,1353.4959:345.7573,
DATA,4.0000,256,4096,1435.7724:359.1128,1423.7364:355.7005,1416.1929:355.1017,
DATA,4.0000,512,4096,1437.7919:360.9101,1448.5856:353.5814,1435.1458:364.4062,
DATA,4.0000,1024,4096,1446.3433:361.2312,1460.7861:366.8183,1442.4599:362.7510,
DATA,4.0000,2048,4096,1390.0282:344.1330,1441.8035:363.9240,1441.6902:357.9981,
DATA,4.0000,32,8192,973.1993:245.0964,934.7696:236.2389,970.3917:240.2667,
DATA,4.0000,64,8192,1050.2066:263.2686,1054.9694:260.6466,1030.9292:260.3763,
DATA,4.0000,128,8192,1082.2428:271.6391,1105.6313:273.0897,1102.8327:277.7043,
DATA,4.0000,256,8192,1131.3194:283.3535,1136.1584:288.4122,1138.7198:287.8821,
DATA,4.0000,512,8192,1143.8680:285.3197,1147.7164:287.5258,1151.6750:285.1861,
DATA,4.0000,1024,8192,1149.5399:287.2948,1180.0240:295.5757,1169.3624:295.2518,
DATA,4.0000,2048,8192,1126.8860:279.9886,1154.5434:291.8953,1160.8463:292.1150,
DATA,4.0000,32,16384,676.9135:168.9739,700.5576:176.4327,692.5870:168.7537,
DATA,4.0000,64,16384,743.8273:184.7241,760.7940:186.9279,754.9307:190.2204,
DATA,4.0000,128,16384,776.8610:193.1212,787.3905:199.3131,798.1005:197.3582,
DATA,4.0000,256,16384,818.8252:205.6720,836.9199:206.4613,839.6211:205.8726,
DATA,4.0000,512,16384,817.7010:201.5140,829.4720:206.2744,812.2821:199.3448,
DATA,4.0000,1024,16384,856.7785:212.5623,850.4069:213.1754,828.9636:208.6294,
DATA,4.0000,2048,16384,861.3190:223.4401,887.8674:224.1392,886.6714:221.1835,
