type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1544.4498:391.1935,1556.6208:388.1810,1551.4611:383.7017,
DATA,4.0000,64,256,1650.8128:414.1956,1653.5563:407.5600,1650.2156:414.6149,
DATA,4.0000,128,256,1732.3406:426.0090,1742.4599:432.7192,1742.4633:427.1975,
DATA,4.0000,256,256,1803.2254:455.3282,1811.7558:452.2419,1811.8309:441.2828,
DATA,4.0000,512,256,1796.9395:444.6607,1822.0919:457.3374,1811.3134:449.8243,
DATA,4.0000,1024,256,1808.3010:452.3279,1848.5671:466.2421,1868.7657:472.0756,
DATA,4.0000,2048,256,1831.7956:458.9794,1918.2931:476.7703,1912.2608:482.1944,
DATA,4.0000,32,512,1504.8632:372.1781,1494.9539:380.5823,1494.4007:368.4763,
DATA,4.0000,64,512,1614.8351:397.1501,1520.4613:377.3565,1532.7003:387.1532,
DATA,4.0000,128,512,1578.6155:396.6711,1579.3817:400.4788,1590.6429:397.8983,
DATA,4.0000,256,512,1665.5461:413.8148,1658.0383:416.6612,1661.1478:420.4762,
DATA,4.0000,512,512,1688.3778:419.7493,1686.7766:417.3988,1683.6702:416.0447,
DATA,4.0000,1024,512,1656.5075:413.3516,1620.2908:412.1393,1698.4624:425.7996,
DATA,4.0000,2048,512,1632.9696:405.4769,1683.8718:419.9281,1676.2795:411.7383,
DATA,4.0000,32,1024,1324.9296:334.9241,1324.3185:327.9393,1321.0842:329.4444,
DATA,4.0000,64,1024,1487.3988:370.9639,1474.7751:365.7458,1485.9448:370.6010,
DATA,4.0000,128,1024,1499.5885:380.3837,1513.7666:376.0828,1507.8393:375.6269,
DATA,4.0000,256,1024,1577.6272:392.8581,1586.6528:393.6361,1582.4908:393.8821,
DATA,4.0000,512,1024,1643.4350:413.5545,1638.5084:406.3907,1637.7197:407.2632,
DATA,4.0000,1024,1024,1613.2453:407.5178,1621.8552:407.9558,1585.7737:392.3418,
DATA,4.0000,2048,1024,1516.7262:383.4941,1587.6017:396.0829,1576.0791:390.2085,
DATA,4.0000,32,2048,1198.7665:305.4824,1205.7370:306.6892,1203.8045:299.9353,
DATA,4.0000,64,2048,1316.7866:331.4175,1322.9289:336.0369,1301.5885:325.8007,
DATA,4.0000,128,2048,1381.0099:342.4649,1365.2757:332.3580,1324.2035:332.3253,
DATA,4.0000,256,2048,1406.6446:349.2421,1400.1129:353.7072,1389.1755:342.4728,
DATA,4.0000,512,2048,1423.6643:361.2594,1410.8142:353.0344,1396.4354:348.8779,
DATA,4.0000,1024,2048,1435.3285:358.1722,1393.7163:347.3731,1390.1192:340.4655,
DATA,4.0000,2048,2048,1410.9712:347.4961,1442.2043:364.9537,1447.5610:359.4813,
DATA,4.0000,32,4096,1086.5194:272.2624,1081.0134:273.1637,1067.2420:268.3114,
DATA,4.0000,64,4096,1173.8473:295.2041,1162.2232:292.7311,1151.5897:284.6931,
DATA,4.0000,128,4096,1221.4901:304.6422,1210.2395:304.3306,1213.1916:297.8492,
DATA,4.0000,256,4096,1244.5803:301.6292,1236.2979:316.1595,1233.6828:306.6039,
DATA,4.0000,512,4096,1271.4698:316.3418,1223.8019:313.7362,1203.9407:298.7985,
DATA,4.0000,1024,4096,1246.3596:314.1729,1251.0062:315.5049,1243.1187:308.9291,
DATA,4.0000,2048,4096,1198.1419:298.7388,1237.4844:310.3680,1243.0252:316.4816,
DATA,4.0000,32,8192,933.5466:231.8417,944.7960:229.4460,947.2741:238.1217,
DATA,4.0000,64,8192,977.4466:239.2798,961.3117:243.7005,965.7156:240.9735,
DATA,4.0000,128,8192,1003.2998:249.7858,991.6941:250.8357,981.4024:245.5311,
DATA,4.0000,256,8192,1040.1909:260.9221,1051.6614:262.6152,1053.4367:262.5586,
DATA,4.0000,512,8192,1059.0699:259.6547,1057.2463:265.1259,1043.4569:260.8897,
DATA,4.0000,1024,8192,1049.0710:259.9896,1065.6985:266.6691,1053.2208:261.3622,
DATA,4.0000,2048,8192,1019.9567:255.8564,1070.9213:266.2521,1057.4747:267.6114,
DATA,4.0000,32,16384,711.2902:178.6674,703.7661:171.9783,703.2743:175.9714,
DATA,4.0000,64,16384,691.4570:174.7474,692.1731:172.6967,695.3246:173.7870,
DATA,4.0000,128,16384,765.6410:190.9069,765.0211:189.8445,753.4584:185.1489,
DATA,4.0000,256,16384,738.8353:181.7815,770.8261:193.8810,766.6652:191.7111,
DATA,4.0000,512,16384,787.8831:198.9832,789.5624:201.1275,787.7602:195.0896,
DATA,4.0000,1024,16384,814.5111:204.0080,806.5463:203.0634,811.4302:201.1501,
DATA,4.0000,2048,16384,793.4012:201.3110,787.2691:193.9012,809.4677:199.5185,
