type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc60"
DATA,4.0000,32,256,1193.9285:295.9486,1202.6032:297.8001,1202.7271:299.5535,
DATA,4.0000,64,256,1298.1018:327.0026,1307.1500:332.1130,1305.1063:328.0303,
DATA,4.0000,128,256,1363.7493:342.0776,1365.9221:342.2011,1368.6543:340.9155,
DATA,4.0000,256,256,1428.6461:354.4350,1434.1163:362.9215,1433.6811:357.3762,
DATA,4.0000,512,256,1480.0319:364.1784,1471.4810:366.5151,1473.0130:355.1596,
DATA,4.0000,1024,256,1333.7534:334.9907,1340.5864:337.2849,1335.6684:328.4364,
DATA,4.0000,2048,256,1343.9835:335.5887,1349.5182:338.6836,1346.0901:335.9233,
DATA,4.0000,32,512,1057.6402:261.8688,1059.6321:268.5265,1059.4491:264.2658,
DATA,4.0000,64,512,1152.1057:285.2218,1223.3614:303.6987,1276.1183:319.6638,
DATA,4.0000,128,512,1343.3979:339.1261,1340.8846:332.4506,1341.0026:337.5874,
DATA,4.0000,256,512,1428.6387:361.5225,1415.8147:352.8390,1399.5720:356.1985,
DATA,4.0000,512,512,1435.1988:352.9734,1437.4018:362.4344,1431.5584:356.0987,
DATA,4.0000,1024,512,1443.7406:362.7489,1438.6675:354.0177,1436.9435:354.2286,
DATA,4.0000,2048,512,1400.8161:351.2508,1414.8650:349.0667,1428.2428:356.8588,
DATA,4.0000,32,1024,1119.1194:275.9774,1115.5537:269.6410,1118.7667:282.1424,
DATA,4.0000,64,1024,1236.5146:316.3453,1237.7971:311.6074,1238.4955:308.9638,
DATA,4.0000,128,1024,1284.8313:321.2844,1280.7472:315.9911,1274.1901:322.8508,
DATA,4.0000,256,1024,1321.1926:332.6437,1317.4624:324.9558,1315.6989:328.8666,
DATA,4.0000,512,1024,1383.2736:345.9207,1374.1568:343.3093,1372.9497:336.5918,
DATA,4.0000,1024,1024,1363.1463:333.7292,1360.2803:337.1360,1363.7488:339.2837,
DATA,4.0000,2048,1024,1353.0937:338.1726,1350.7928:335.7467,1345.7741:342.3389,
DATA,4.0000,32,2048,1060.9958:261.9725,1059.2618:266.0412,1054.0163:264.1291,
DATA,4.0000,64,2048,1123.5658:282.6469,1154.0322:291.0711,1149.3223:289.8108,
DATA,4.0000,128,2048,1206.2361:300.8054,1202.1277:305.3517,1204.7985:302.5786,
DATA,4.0000,256,2048,1254.4061:312.1443,1245.2051:308.6942,1244.6904:311.0485,
DATA,4.0000,512,2048,1261.6077:315.8947,1256.5809:309.7439,1260.6418:312.1921,
DATA,4.0000,1024,2048,1253.6098:313.6472,1249.8355:312.6091,1249.5614:314.2957,
DATA,4.0000,2048,2048,1249.8161:308.6224,1281.5472:323.1413,1285.1549:319.3118,
DATA,4.0000,32,4096,971.5355:241.0950,973.4184:246.3683,970.5316:240.7238,
DATA,4.0000,64,4096,1036.1468:260.3926,1034.9544:263.5382,1030.6612:255.4773,
DATA,4.0000,128,4096,1091.4873:271.5742,1079.1131:273.8682,1093.3753:269.7272,
DATA,4.0000,256,4096,1135.8882:281.7848,1126.1540:279.2440,1114.2809:276.8252,
DATA,4.0000,512,4096,1144.4212:281.6043,1139.8716:282.6494,1128.9666:286.9391,
DATA,4.0000,1024,4096,1159.4865:290.1684,1164.2581:294.1983,1157.1482:287.3155,
DATA,4.0000,2048,4096,1123.2863:280.9453,1151.6967:282.4316,1136.1436:280.6852,
DATA,4.0000,32,8192,784.5175:192.2457,777.3772:194.9515,780.9487:192.9701,
DATA,4.0000,64,8192,858.6887:210.3395,849.9818:212.1226,840.2954:207.0357,
DATA,4.0000,128,8192,902.1917:223.5165,890.9238:226.1640,889.3681:222.7544,
DATA,4.0000,256,8192,930.3277:225.8163,910.5706:225.7342,907.0922:226.0822,
DATA,4.0000,512,8192,937.5791:231.2576,931.5779:235.3983,931.1900:236.0243,
DATA,4.0000,1024,8192,942.7050:233.2812,956.4286:240.9118,956.1038:240.3278,
DATA,4.0000,2048,8192,939.5653:235.3910,956.3009:245.9994,956.0439:239.2470,
DATA,4.0000,32,16384,658.2426:164.4163,651.6044:163.1655,653.8647:163.6089,
DATA,4.0000,64,16384,678.4928:169.6432,675.0013:168.1379,667.1789:165.9609,
DATA,4.0000,128,16384,707.8949:175.3826,701.7277:178.1569,698.8127:173.6764,
DATA,4.0000,256,16384,719.5058:179.1064,710.8113:178.2790,705.9771:178.9021,
DATA,4.0000,512,16384,733.1125:181.7639,721.9032:182.2343,723.7611:184.3557,
DATA,4.0000,1024,16384,719.4829:179.5925,715.3461:177.2554,742.5420:189.5161,
DATA,4.0000,2048,16384,772.0090:194.7462,768.7509:196.2630,747.1820:185.9849,
DATA,4.0000,32,32768,456.7808:115.9275,458.2065:114.8094,455.5609:114.0894,
DATA,4.0000,64,32768,453.9976:114.8778,452.9183:112.6495,455.2143:112.6533,
DATA,4.0000,128,32768,504.9173:127.1294,505.1167:126.5785,500.7469:125.2484,
DATA,4.0000,256,32768,520.6466:130.3883,518.7316:129.4873,513.5838:128.1374,
DATA,4.0000,512,32768,513.3828:129.2752,524.9856:130.5076,522.3888:129.4374,
DATA,4.0000,1024,32768,548.2690:137.8382,506.8872:125.0100,543.2499:136.0104,
DATA,4.0000,2048,32768,523.4842:129.4583,531.5533:136.7201,541.0714:134.1444,
