type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,256,1525.7429:380.1945,1525.0356:375.8534,1527.0735:391.0224,
DATA,4.0000,64,256,1626.5998:408.3666,1625.8400:414.2080,1620.4945:410.7565,
DATA,4.0000,128,256,1715.6569:426.3925,1714.4294:421.6546,1708.5282:428.3566,
DATA,4.0000,256,256,1750.9392:432.9695,1745.7328:433.6856,1745.3402:435.7602,
DATA,4.0000,512,256,1807.8868:445.8533,1827.7871:455.5591,1815.6175:455.1307,
DATA,4.0000,1024,256,1746.9730:443.7589,1798.4575:459.3279,1793.1315:441.5209,
DATA,4.0000,2048,256,1665.9095:426.8450,1740.9967:434.0731,1743.2344:429.8015,
DATA,4.0000,32,512,1371.0919:340.7147,1371.1629:342.9173,1371.7188:332.4905,
DATA,4.0000,64,512,1540.3063:387.4269,1535.8690:385.1582,1536.9368:387.5993,
DATA,4.0000,128,512,1661.3803:427.4976,1650.2062:416.4293,1658.6221:415.4494,
DATA,4.0000,256,512,1665.3209:412.0970,1681.2774:417.0022,1680.9465:427.7121,
DATA,4.0000,512,512,1736.0649:431.4307,1732.2647:423.3492,1734.0104:427.0018,
DATA,4.0000,1024,512,1691.3320:422.7310,1667.2723:419.7282,1695.0663:421.3335,
DATA,4.0000,2048,512,1715.7249:439.7539,1731.6755:436.7404,1742.8567:442.7701,
DATA,4.0000,32,1024,1384.8267:352.4159,1388.6223:342.9119,1389.1031:342.2089,
DATA,4.0000,64,1024,1508.1779:380.3454,1505.4186:371.4694,1500.7935:370.3796,
DATA,4.0000,128,1024,1561.6379:389.7671,1555.1198:391.1576,1552.0976:385.8364,
DATA,4.0000,256,1024,1622.5739:406.7364,1618.3501:408.8614,1632.6036:411.2443,
DATA,4.0000,512,1024,1625.5761:400.6449,1629.8195:401.9526,1648.8241:417.2383,
DATA,4.0000,1024,1024,1666.0762:405.5499,1653.4143:417.1751,1658.3021:409.9657,
DATA,4.0000,2048,1024,1606.1397:403.2448,1602.8268:407.1444,1599.1662:410.0531,
DATA,4.0000,32,2048,1242.4068:305.5697,1241.3902:313.0969,1236.1740:305.3044,
DATA,4.0000,64,2048,1357.7550:339.3504,1357.9217:338.2064,1358.7426:336.5879,
DATA,4.0000,128,2048,1415.6724:348.0887,1419.2004:357.1410,1400.4976:345.3618,
DATA,4.0000,256,2048,1437.9205:355.5054,1427.2413:358.1340,1413.6230:344.9548,
DATA,4.0000,512,2048,1461.1124:368.1024,1466.0925:361.5198,1450.8556:362.6101,
DATA,4.0000,1024,2048,1487.1430:377.9957,1485.8259:371.4893,1480.9443:375.1089,
DATA,4.0000,2048,2048,1445.7689:355.9285,1461.2920:361.1688,1465.8904:366.7650,
DATA,4.0000,32,4096,1085.1846:271.1940,1083.0500:267.8555,1079.7351:273.6890,
DATA,4.0000,64,4096,1195.0587:297.5266,1202.8251:300.9680,1195.9550:303.1839,
DATA,4.0000,128,4096,1202.6992:300.9672,1202.1326:305.8064,1196.6898:295.4713,
DATA,4.0000,256,4096,1296.9906:319.2171,1278.6836:324.9888,1277.2827:313.1917,
DATA,4.0000,512,4096,1282.1431:317.0464,1281.4811:324.8568,1289.2245:322.2861,
DATA,4.0000,1024,4096,1307.0462:323.3268,1269.8717:315.6577,1252.0290:311.6790,
DATA,4.0000,2048,4096,1226.3143:309.5657,1259.9800:311.3385,1261.0524:311.6350,
DATA,4.0000,32,8192,959.4595:233.7788,959.3080:235.5839,956.0668:240.0333,
DATA,4.0000,64,8192,988.3578:246.4368,997.1978:250.3265,986.3816:248.6000,
DATA,4.0000,128,8192,1030.5449:256.2184,1022.4809:258.1141,1023.3244:256.4044,
DATA,4.0000,256,8192,1063.4789:264.6383,1055.0436:270.3111,1043.3787:260.6077,
DATA,4.0000,512,8192,1048.8928:266.6558,1046.6051:260.1356,1027.7064:255.7004,
DATA,4.0000,1024,8192,1070.0241:263.9191,1069.6353:266.6552,1068.6456:265.3682,
DATA,4.0000,2048,8192,1033.1426:259.0627,1058.1418:259.9832,1042.2509:260.9876,
DATA,4.0000,32,16384,686.6888:173.5858,687.0653:172.4535,686.9587:171.2242,
DATA,4.0000,64,16384,735.9272:184.0040,730.2954:179.4344,722.7976:181.6028,
DATA,4.0000,128,16384,736.2047:183.4065,732.5885:179.0647,731.6069:180.5743,
DATA,4.0000,256,16384,748.6805:187.8222,779.1883:196.2560,787.4417:199.2745,
DATA,4.0000,512,16384,792.3199:199.3281,792.5715:195.7884,773.0031:189.5386,
DATA,4.0000,1024,16384,816.4253:205.1396,806.0245:201.1016,807.5986:199.5716,
DATA,4.0000,2048,16384,772.6434:192.3569,806.9605:203.0297,793.9945:201.4643,
DATA,4.0000,32,32768,477.2658:118.4673,479.4492:118.9945,475.9268:120.5472,
DATA,4.0000,64,32768,506.0439:127.4132,511.2464:128.4341,505.4512:126.9156,
DATA,4.0000,128,32768,513.4626:129.4257,530.4408:133.0077,533.5326:132.4332,
DATA,4.0000,256,32768,559.6207:142.2714,550.1461:138.7750,554.1244:139.9704,
DATA,4.0000,512,32768,566.9792:142.1145,543.9650:133.6347,551.6078:138.3988,
DATA,4.0000,1024,32768,548.3234:135.9639,544.0942:136.8014,564.8060:142.0596,
DATA,4.0000,2048,32768,579.8486:146.0949,542.1185:134.9110,573.8745:140.7435,
