type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc60"
DATA,4.0000,32,8192,825.1142:206.5617,819.3549:208.3324,830.3238:206.6214,
DATA,4.0000,64,8192,880.5977:221.1117,886.0755:221.4623,879.4352:220.8175,
DATA,4.0000,128,8192,895.5614:222.4590,844.5408:212.4795,844.6124:214.6734,
DATA,4.0000,256,8192,910.2422:229.6655,917.7079:231.2869,912.7159:230.6033,
DATA,4.0000,512,8192,942.5304:237.3542,883.1335:222.6563,865.0786:216.9938,
DATA,4.0000,1024,8192,868.2695:214.7898,870.5019:217.5396,898.9709:223.4674,
DATA,4.0000,2048,8192,871.5348:219.4361,911.0779:228.5944,937.5586:229.6340,
DATA,4.0000,32,16384,624.8783:157.7845,622.8778:157.2209,612.2095:154.7210,
DATA,4.0000,64,16384,667.7278:166.3679,674.3819:171.0039,675.9544:166.5237,
DATA,4.0000,128,16384,700.7246:176.2751,697.2110:172.1062,692.8495:170.9219,
DATA,4.0000,256,16384,728.2057:183.6456,727.8141:184.4327,734.5682:181.9871,
DATA,4.0000,512,16384,720.1896:177.3523,719.8011:178.4165,714.3762:178.4340,
DATA,4.0000,1024,16384,727.5165:183.7585,721.8233:180.6488,733.6758:185.8216,
DATA,4.0000,2048,16384,729.1538:183.6147,756.9962:188.4370,744.8016:190.0587,
DATA,4.0000,32,32768,440.8679:109.4052,436.9969:107.8598,436.1660:107.0722,
DATA,4.0000,64,32768,473.9190:116.7517,477.5537:120.4195,479.6851:118.6488,
DATA,4.0000,128,32768,502.3521:124.4728,491.5870:123.6494,492.7078:122.7606,
DATA,4.0000,256,32768,521.9025:133.4385,518.7840:130.5064,522.8097:129.4129,
DATA,4.0000,512,32768,528.4598:130.9603,511.9055:128.8238,519.5960:130.1561,
DATA,4.0000,1024,32768,553.8374:137.8836,547.0123:135.4722,550.0536:138.3164,
DATA,4.0000,2048,32768,507.1073:125.8670,562.1085:141.5492,567.7464:145.3319,
