type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,8192,933.1796:230.0075,922.5143:234.6776,918.3468:231.6834,
DATA,4.0000,64,8192,991.7785:250.2719,986.2850:249.3184,1002.9496:248.3582,
DATA,4.0000,128,8192,1028.4827:253.8799,1032.7079:263.3540,1039.3833:262.0499,
DATA,4.0000,256,8192,1031.9495:260.8594,1025.9085:257.2062,1032.9073:263.8269,
DATA,4.0000,512,8192,1059.9607:267.4350,1060.6212:262.6273,1056.4053:271.3613,
DATA,4.0000,1024,8192,1048.8276:263.7280,1063.8726:266.4844,1062.6659:264.1576,
DATA,4.0000,2048,8192,1045.9813:265.6248,1065.4927:266.7352,1083.6146:269.9164,
DATA,4.0000,32,16384,658.4981:164.2950,664.7452:166.6430,655.9155:162.9141,
DATA,4.0000,64,16384,708.8421:178.3852,709.1453:177.4855,700.7684:174.3380,
DATA,4.0000,128,16384,749.9996:188.1554,741.4772:186.1330,731.8492:185.4144,
DATA,4.0000,256,16384,783.7288:196.3218,782.2573:200.3762,778.5961:192.3406,
DATA,4.0000,512,16384,766.0303:195.3890,791.7187:194.8413,781.7902:197.4025,
DATA,4.0000,1024,16384,795.2226:203.9723,795.5351:200.9133,770.1243:194.1952,
DATA,4.0000,2048,16384,789.0062:197.0587,799.9884:199.7807,794.5428:202.6257,
DATA,4.0000,32,32768,465.1688:117.8369,456.1039:115.3825,448.5909:114.1311,
DATA,4.0000,64,32768,510.8302:128.2823,510.2941:126.9677,503.9853:125.9009,
DATA,4.0000,128,32768,534.3996:135.4741,537.4111:135.1925,506.7192:128.0591,
DATA,4.0000,256,32768,551.2020:138.3851,544.6989:139.0448,543.2110:137.5031,
DATA,4.0000,512,32768,567.2204:144.4905,545.5316:134.3922,548.1025:137.9504,
DATA,4.0000,1024,32768,571.6231:143.8479,571.9964:146.2073,568.8910:141.4702,
DATA,4.0000,2048,32768,481.3535:122.6848,577.3841:148.0541,580.0270:146.0311,
