type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc60"
DATA,4.0000,32,8192,818.9902:204.4119,823.5635:207.4116,821.3824:206.3214,
DATA,4.0000,64,8192,839.7838:213.6323,841.6747:208.9091,838.8779:205.9058,
DATA,4.0000,128,8192,931.9209:228.2506,930.7418:231.1410,930.3316:229.9985,
DATA,4.0000,256,8192,916.5308:222.5504,904.3605:222.5050,903.9198:227.2774,
DATA,4.0000,512,8192,907.0667:230.1974,913.9221:227.7847,927.7027:234.4203,
DATA,4.0000,1024,8192,934.2828:233.2038,938.3547:233.3738,938.0813:236.9072,
DATA,4.0000,2048,8192,962.2866:239.0739,988.8219:248.4270,969.1369:245.5397,
DATA,4.0000,32,16384,639.4521:160.7628,641.4475:162.9155,639.6206:160.3847,
DATA,4.0000,64,16384,681.1876:171.1681,664.2519:168.4146,674.8602:171.5497,
DATA,4.0000,128,16384,699.9619:176.0580,697.3527:174.4214,695.4487:177.4162,
DATA,4.0000,256,16384,742.7254:182.1413,749.4726:186.9729,742.7194:185.1211,
DATA,4.0000,512,16384,749.9303:186.5416,746.1762:186.3798,740.9248:185.4329,
DATA,4.0000,1024,16384,756.5803:193.0130,772.6530:190.0648,770.0419:190.9633,
DATA,4.0000,2048,16384,723.0115:176.1487,776.0819:189.9926,770.6366:193.6252,
DATA,4.0000,32,32768,453.0456:111.4828,455.5256:114.9366,452.2325:117.6166,
DATA,4.0000,64,32768,474.3700:118.8879,468.3834:119.8158,467.5930:117.7906,
DATA,4.0000,128,32768,500.5584:123.7038,498.0707:124.7663,490.3285:121.8157,
DATA,4.0000,256,32768,524.7205:131.1302,528.6331:131.8928,527.9891:134.9763,
DATA,4.0000,512,32768,541.7611:134.9638,521.8419:130.6865,535.2099:133.7488,
DATA,4.0000,1024,32768,562.4005:139.5414,562.0563:143.4002,520.3653:131.4380,
DATA,4.0000,2048,32768,565.4176:140.1285,565.1122:140.4697,556.7052:137.6670,
