type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=d820cd2b5"
DATA,4.0000,32,8192,949.6783:240.0656,949.8024:238.2515,961.5854:244.8290,
DATA,4.0000,64,8192,977.0550:245.9102,986.1934:246.6701,982.6633:244.9882,
DATA,4.0000,128,8192,1016.6939:255.7933,1004.5836:251.1284,989.3366:248.7663,
DATA,4.0000,256,8192,1026.1730:255.1913,1032.8842:261.2215,1046.9235:259.4740,
DATA,4.0000,512,8192,1055.3490:265.5089,1083.4415:266.2010,1082.8050:272.5538,
DATA,4.0000,1024,8192,1099.9999:274.4805,1125.5117:276.9421,1112.6082:280.7461,
DATA,4.0000,2048,8192,1070.7957:265.9561,1083.1031:273.2170,1034.7810:260.0163,
DATA,4.0000,32,16384,678.5266:170.8201,679.5322:167.1099,681.4372:170.2312,
DATA,4.0000,64,16384,705.2463:173.5645,693.1868:172.5605,692.1810:173.2391,
DATA,4.0000,128,16384,753.2815:190.8905,746.9922:189.2036,730.2556:180.2176,
DATA,4.0000,256,16384,762.5287:189.6481,768.1384:193.9039,762.2190:193.3687,
DATA,4.0000,512,16384,775.6559:193.4265,784.9634:196.3859,774.6512:193.3449,
DATA,4.0000,1024,16384,787.9532:196.9045,801.9750:204.2536,803.1912:202.3184,
DATA,4.0000,2048,16384,758.7759:188.8026,802.4858:201.9317,797.7698:199.3698,
DATA,4.0000,32,32768,467.4184:115.7750,463.6859:114.8077,461.4062:116.8692,
DATA,4.0000,64,32768,511.1109:127.8061,508.9630:127.4472,496.5884:122.2433,
DATA,4.0000,128,32768,549.2243:138.3189,543.7776:137.1854,541.6248:136.0322,
DATA,4.0000,256,32768,530.0359:135.1518,528.2885:134.2575,526.8838:132.8580,
DATA,4.0000,512,32768,556.6391:138.4973,553.5956:138.2951,532.8222:129.7242,
DATA,4.0000,1024,32768,562.2843:139.1930,567.9436:141.4071,565.8199:139.8261,
DATA,4.0000,2048,32768,524.2649:134.3165,577.0325:144.1939,565.4332:142.5334,
