type,ratio,conn_size,value_size,iter1,iter2,iter3,comment
PARAM,,,,,,,"key_size=256,key_space_size=65536,backend_size=21474836480,range_limit=100,commit=c9fdc60"
DATA,4.0000,32,256,1227.7847:307.2909,1228.4127:302.5108,1230.3979:311.9168,
DATA,4.0000,64,256,1358.9991:339.3640,1356.3936:336.0891,1355.7233:339.0122,
DATA,4.0000,128,256,1433.8552:357.9656,1419.6990:355.9861,1423.6851:351.2565,
DATA,4.0000,256,256,1473.1245:369.1462,1361.7552:340.7187,1345.3966:335.3272,
DATA,4.0000,512,256,1390.3392:348.1346,1388.5130:343.7721,1385.6547:342.2952,
DATA,4.0000,1024,256,1516.5835:374.8393,1537.9098:384.8179,1544.2245:392.7271,
DATA,4.0000,2048,256,1490.2152:371.4604,1525.9975:379.3643,1542.4662:389.8915,
DATA,4.0000,32,512,1164.6700:292.1500,1169.4226:287.8725,1153.3909:292.3227,
DATA,4.0000,64,512,1328.7603:331.5654,1328.7350:337.0940,1329.1162:328.5406,
DATA,4.0000,128,512,1371.8926:347.2610,1379.4650:347.0600,1367.6799:345.4661,
DATA,4.0000,256,512,1428.0749:353.5290,1424.3802:359.0652,1401.1715:351.4211,
DATA,4.0000,512,512,1469.8466:362.5005,1475.2748:369.6690,1457.2232:364.0530,
DATA,4.0000,1024,512,1494.9841:375.8614,1503.2225:378.1686,1493.8940:371.8972,
DATA,4.0000,2048,512,1449.7700:359.7175,1494.5589:378.1544,1492.8665:383.0326,
DATA,4.0000,32,1024,1169.3763:291.5396,1163.2390:290.2976,1166.2722:297.0543,
DATA,4.0000,64,1024,1281.1865:319.9348,1282.2055:322.7172,1285.2114:323.1417,
DATA,4.0000,128,1024,1342.5477:339.7890,1337.5634:338.1937,1322.3585:321.3738,
DATA,4.0000,256,1024,1381.5937:345.1318,1374.4571:340.8608,1356.8694:342.3925,
DATA,4.0000,512,1024,1407.1711:348.6532,1402.9660:359.7221,1400.8139:347.5229,
DATA,4.0000,1024,1024,1398.1957:353.5858,1396.8116:353.4118,1397.1019:348.1108,
DATA,4.0000,2048,1024,1384.5674:346.6507,1428.5838:358.6024,1433.0974:353.6068,
DATA,4.0000,32,2048,1120.7712:276.6271,1105.3589:274.4423,1087.6846:275.2588,
DATA,4.0000,64,2048,1197.4695:297.7960,1189.2281:298.9035,1187.4299:301.8065,
DATA,4.0000,128,2048,1259.7935:316.3992,1257.0672:316.0266,1266.6545:320.8956,
DATA,4.0000,256,2048,1277.3755:312.3761,1263.7452:318.1790,1272.6311:317.0766,
DATA,4.0000,512,2048,1293.8875:319.1356,1306.7954:324.3514,1309.3582:330.6056,
DATA,4.0000,1024,2048,1318.8071:330.6729,1321.7181:327.2638,1326.9130:341.9223,
DATA,4.0000,2048,2048,1288.8387:328.4220,1334.2759:338.5543,1328.6722:330.5759,
DATA,4.0000,32,4096,1020.9204:251.4121,1011.3724:252.6834,1018.8852:254.6242,
DATA,4.0000,64,4096,1078.7088:268.4290,1074.5629:268.6392,1069.6172:266.7324,
DATA,4.0000,128,4096,1116.5775:280.3287,1111.7464:273.5308,1105.4680:274.6043,
DATA,4.0000,256,4096,1150.4467:288.3975,1143.7015:285.0215,1139.5450:282.2791,
DATA,4.0000,512,4096,1171.6806:289.9442,1168.8264:289.3946,1163.9264:289.8106,
DATA,4.0000,1024,4096,1187.3640:288.6980,1186.7167:293.7626,1183.2934:302.4776,
DATA,4.0000,2048,4096,1137.8601:285.3410,1175.5860:293.7101,1175.1980:294.5551,
DATA,4.0000,32,8192,876.8343:221.3494,871.1837:221.6204,866.7988:218.2727,
DATA,4.0000,64,8192,915.1106:227.0320,903.0253:225.8397,921.0867:234.1987,
DATA,4.0000,128,8192,938.4318:231.9728,936.8922:232.7008,931.2466:230.9779,
DATA,4.0000,256,8192,959.0273:236.7313,957.5978:237.5723,950.9477:240.2900,
DATA,4.0000,512,8192,985.9457:245.5705,979.8625:243.9199,980.4338:246.5069,
DATA,4.0000,1024,8192,971.4226:242.4442,982.7751:244.9709,979.9134:244.0162,
DATA,4.0000,2048,8192,958.7518:237.8035,991.1449:246.2399,986.3845:249.4762,
DATA,4.0000,32,16384,647.0938:162.8458,644.6334:163.6434,640.7502:160.2273,
DATA,4.0000,64,16384,693.8997:178.0301,701.1057:173.3500,697.9494:176.8049,
DATA,4.0000,128,16384,724.3017:179.5155,726.8089:180.4768,705.1935:174.2741,
DATA,4.0000,256,16384,720.0961:178.5147,729.4222:177.2506,734.3182:182.7517,
DATA,4.0000,512,16384,746.7225:183.4473,751.4140:189.0742,752.4760:190.5173,
DATA,4.0000,1024,16384,769.9323:190.5762,775.8850:195.3453,772.9991:192.6604,
DATA,4.0000,2048,16384,743.7223:185.8085,773.2505:191.2626,764.6583:190.2611,
